JA, G	ja g
PZWE, XATM	pzwe xatm
OP, U	op u
BDVRKFCS, VQWS	bdvrkfcs vqws
YVK, FZRBG	yvk fzrbg
GGG, K	ggg k
O, LO	o lo
RU, CGCT	ru cgct
YST, W	yst w
UZGH, ATO	uzgh ato
G, SBY	g sby
C, UNNLDW	c unnldw
SWKYLMWT, QHR	swkylmwt qhr
VD, B	vd b
OWSIV, FC	owsiv fc
YNHTFP, L	ynhtfp l
T, C	t c
XM, OCA	xm oca
A, C	a c
CVWBX, NB	cvwbx nb
U, U	u u
B, D	b d
MK, DSVG	mk dsvg
ZB, D	zb d
J, G	j g
V, Q	v q
G, F	g f
O, QR	o qr
ZT, TN	zt tn
IMU, YIVK	imu yivk
W, I	w i
IHZ, PUKN	ihz pukn
O, U	o u
TDDH, NV	tddh nv
QB, E	qb e
SXXUJOZH, NOO	sxxujozh noo
PSP, DUKUC	psp dukuc
V, PK	v pk
DM, NA	dm na
E, RPJZ	e rpjz
P, J	p j
N, DJFX	n djfx
ZB, S	zb s
QSDXE, H	qsdxe h
CW, C	cw c
BM, U	bm u
Z, TO	z to
OQ, K	oq k
PG, QZVNDRKLKZH	pg qzvndrklkzh
M, C	m c
V, QV	v qv
H, NKFBJSRH	h nkfbjsrh
H, IG	h ig
RVFC, JZY	rvfc jzy
KF, N	kf n
M, OX	m ox
FC, JBE	fc jbe
FIUMB, DU	fiumb du
GI, ON	gi on
X, WFGR	x wfgr
VR, IR	vr ir
SR, GGOYEPZ	sr ggoyepz
FLO, U	flo u
A, N	a n
LKX, LHLRT	lkx lhlrt
W, B	w b
ZYA, DBI	zya dbi
MUDTA, BTL	mudta btl
AEX, F	aex f
VMCW, T	vmcw t
W, T	w t
S, OPRBX	s oprbx
P, R	p r
K, LWCN	k lwcn
US, F	us f
MJ, BV	mj bv
NA, KES	na kes
XURU, Z	xuru z
G, WVIS	g wvis
NY, SO	ny so
BZG, MR	bzg mr
A, V	a v
GP, C	gp c
PNR, HUJ	pnr huj
AXAA, OX	axaa ox
PC, MNCQ	pc mncq
X, E	x e
F, V	f v
JHX, B	jhx b
B, IF	b if
D, A	d a
LQ, XS	lq xs
EE, VLSJJT	ee vlsjjt
E, N	e n
ZUDSS, VMM	zudss vmm
S, P	s p
GVGQS, Y	gvgqs y
WSI, JU	wsi ju
PH, HCIYXO	ph hciyxo
FS, X	fs x
J, WWRBZX	j wwrbzx
CO, W	co w
CWGV, HLPIHIZBJ	cwgv hlpihizbj
GX, G	gx g
FODSBXR, U	fodsbxr u
OH, EL	oh el
P, AQ	p aq
VTFVX, DB	vtfvx db
XTHSABX, QXZB	xthsabx qxzb
WM, Z	wm z
SIYBUJ, L	siybuj l
OTI, DMH	oti dmh
ZDX, LYXWEX	zdx lyxwex
YIO, WXSZ	yio wxsz
LOCL, O	locl o
LE, Q	le q
DHF, MD	dhf md
OEGSJB, JD	oegsjb jd
MD, UF	md uf
O, MV	o mv
OMH, L	omh l
UCKRA, K	uckra k
HE, Y	he y
K, F	k f
IN, U	in u
T, E	t e
VT, NOTUOJ	vt notuoj
OCM, OH	ocm oh
Y, XY	y xy
YLOFYF, L	ylofyf l
XGMN, I	xgmn i
Z, V	z v
VJ, RS	vj rs
RVNAQ, S	rvnaq s
K, L	k l
KBYKN, DUWFG	kbykn duwfg
QG, E	qg e
YLOA, BVUM	yloa bvum
F, JXU	f jxu
IN, Z	in z
Z, DL	z dl
O, TJK	o tjk
FPZ, E	fpz e
M, X	m x
YL, WEETP	yl weetp
FZC, HT	fzc ht
I, ZJA	i zja
GN, L	gn l
Q, SA	q sa
HDI, HZ	hdi hz
Y, SH	y sh
NRGQMMZW, LTU	nrgqmmzw ltu
SOR, MKQO	sor mkqo
OD, ZBOBXKFSGP	od zbobxkfsgp
EGF, B	egf b
L, BZBZIKJZPE	l bzbzikjzpe
I, RSEIYQ	i rseiyq
WBC, TV	wbc tv
H, M	h m
OS, K	os k
I, LY	i ly
N, TUMD	n tumd
SFPRG, UWZ	sfprg uwz
TU, K	tu k
BQJ, NVJQO	bqj nvjqo
U, X	u x
T, KYECHCA	t kyechca
D, FY	d fy
IOZ, AGA	ioz aga
L, LYHRENMYG	l lyhrenmyg
RPGPTDYH, O	rpgptdyh o
M, S	m s
WUM, QG	wum qg
C, O	c o
V, NTYW	v ntyw
NTC, JUZ	ntc juz
VQHRL, HG	vqhrl hg
TG, EL	tg el
L, NRSRCL	l nrsrcl
W, Y	w y
OCR, FCG	ocr fcg
AU, TO	au to
DTCHST, BKWJL	dtchst bkwjl
K, UC	k uc
JESL, J	jesl j
F, M	f m
R, JY	r jy
EMX, I	emx i
WHSA, W	whsa w
U, HEAK	u heak
J, DLE	j dle
PHDKX, XURA	phdkx xura
CFVMOF, ZD	cfvmof zd
WL, J	wl j
O, LZ	o lz
B, V	b v
BI, FY	bi fy
L, T	l t
N, GLD	n gld
JV, D	jv d
N, LUL	n lul
AH, K	ah k
BSFT, Z	bsft z
H, N	h n
LY, EV	ly ev
AB, CA	ab ca
M, E	m e
TB, QLDTXKL	tb qldtxkl
W, D	w d
CQ, YQ	cq yq
H, PS	h ps
OB, U	ob u
R, K	r k
BVZ, UTJF	bvz utjf
DQ, LL	dq ll
N, X	n x
SX, J	sx j
QPO, RC	qpo rc
G, D	g d
O, K	o k
YHW, RRO	yhw rro
EUO, EP	euo ep
D, B	d b
J, P	j p
J, WGTB	j wgtb
HBSW, YWR	hbsw ywr
T, JKLR	t jklr
PG, I	pg i
O, ID	o id
W, N	w n
GZ, J	gz j
EMF, P	emf p
KG, Y	kg y
K, BPPQBPO	k bppqbpo
Q, AK	q ak
MM, BEB	mm beb
WB, K	wb k
Q, ZI	q zi
ZDVFR, YXEARR	zdvfr yxearr
OGE, ZFWDW	oge zfwdw
J, SG	j sg
ZIN, Z	zin z
TX, OSYM	tx osym
OAO, KL	oao kl
ZCHA, A	zcha a
D, V	d v
Q, AC	q ac
D, S	d s
LJKQA, H	ljkqa h
U, SOAZRZRL	u soazrzrl
B, C	b c
HYABZ, YNGC	hyabz yngc
HF, UIZ	hf uiz
V, I	v i
X, WE	x we
B, R	b r
Z, X	z x
TVR, MRVC	tvr mrvc
SVIYYGMQT, IVSH	sviyygmqt ivsh
QIL, QL	qil ql
U, YBW	u ybw
ZZE, PG	zze pg
L, X	l x
N, GF	n gf
FUNC, IV	func iv
U, E	u e
NKH, BO	nkh bo
O, CBE	o cbe
IW, EJ	iw ej
CR, FF	cr ff
A, I	a i
Y, V	y v
RGHWN, TNP	rghwn tnp
Y, L	y l
WIN, L	win l
C, IMLIAX	c imliax
DUEI, L	duei l
R, W	r w
KQU, GDODSP	kqu gdodsp
I, UVI	i uvi
WXBOLK, BF	wxbolk bf
KHSI, N	khsi n
P, FO	p fo
NOLKUO, G	nolkuo g
LCO, DRCG	lco drcg
SNCC, WM	sncc wm
GM, GC	gm gc
TK, BOAICFYT	tk boaicfyt
NT, RBNCJ	nt rbncj
T, WY	t wy
HMKMDK, GFWR	hmkmdk gfwr
HB, ZSQ	hb zsq
OEL, J	oel j
Y, E	y e
T, LHT	t lht
P, V	p v
A, Z	a z
ZU, V	zu v
BH, O	bh o
IZJEEUH, BG	izjeeuh bg
WDB, Y	wdb y
LAT, GX	lat gx
Q, B	q b
QI, HDXAFGLW	qi hdxafglw
S, W	s w
XJ, OB	xj ob
ZWHFJVFMJAS, X	zwhfjvfmjas x
TJCXE, TDLNLHX	tjcxe tdlnlhx
L, P	l p
F, T	f t
E, DG	e dg
XJ, E	xj e
R, FQXO	r fqxo
Y, W	y w
N, Z	n z
R, D	r d
N, T	n t
SHEMUETHCB, MO	shemuethcb mo
BZXF, P	bzxf p
M, AWSPPY	m awsppy
UTNFQP, N	utnfqp n
YDA, Q	yda q
GR, HU	gr hu
F, O	f o
M, O	m o
YK, NQYS	yk nqys
T, C	t c
TU, L	tu l
ZZUZ, LCK	zzuz lck
K, S	k s
YOA, J	yoa j
R, BM	r bm
U, QA	u qa
OC, T	oc t
K, NY	k ny
W, BY	w by
WS, QQZWFRFZI	ws qqzwfrfzi
F, NQW	f nqw
M, LXI	m lxi
Z, L	z l
CSV, G	csv g
OWCM, GHK	owcm ghk
OSKWOJWIJHZUJGF, EYBF	oskwojwijhzujgf eybf
B, H	b h
Q, RMMC	q rmmc
HH, GJUI	hh gjui
P, U	p u
M, KAV	m kav
P, VPMT	p vpmt
OLL, DJKU	oll djku
V, G	v g
G, VQHXU	g vqhxu
WELHMQR, NX	welhmqr nx
WR, A	wr a
T, BK	t bk
D, U	d u
MX, YOGHK	mx yoghk
O, VEE	o vee
OG, JP	og jp
L, WR	l wr
RAZ, VQBAFGZ	raz vqbafgz
X, MAF	x maf
Z, U	z u
NDPFPT, TBXAOCJJ	ndpfpt tbxaocjj
BIB, VJ	bib vj
HLE, U	hle u
CWZDRQ, Y	cwzdrq y
QN, SKTDYY	qn sktdyy
OWR, QMQO	owr qmqo
A, DHKRQV	a dhkrqv
E, H	e h
QN, HBPPBJYO	qn hbppbjyo
N, W	n w
K, GN	k gn
N, TS	n ts
L, QB	l qb
AGDT, SH	agdt sh
V, UPAS	v upas
GP, Y	gp y
W, Q	w q
ONGX, DGG	ongx dgg
A, N	a n
G, D	g d
B, IR	b ir
K, DZ	k dz
ZF, H	zf h
U, Z	u z
AS, U	as u
F, W	f w
SUQ, L	suq l
XKO, V	xko v
CVI, VX	cvi vx
PPE, XWD	ppe xwd
B, Q	b q
J, KZO	j kzo
C, MOD	c mod
K, CPB	k cpb
G, WK	g wk
V, KRCUAD	v krcuad
IB, UF	ib uf
QKN, Q	qkn q
STXUV, FP	stxuv fp
U, MC	u mc
HOH, B	hoh b
Y, OX	y ox
OJA, X	oja x
JD, V	jd v
K, P	k p
GIUEN, SY	giuen sy
N, C	n c
XARW, T	xarw t
GSO, TR	gso tr
DTO, ODG	dto odg
G, GF	g gf
SV, PCOHFP	sv pcohfp
KGV, SC	kgv sc
PGK, SDHVNA	pgk sdhvna
U, Q	u q
P, AAVGSX	p aavgsx
R, F	r f
S, Z	s z
V, F	v f
W, C	w c
ZEVYB, OQ	zevyb oq
DM, TWL	dm twl
A, PQYMH	a pqymh
EH, DE	eh de
P, W	p w
EXG, BAF	exg baf
CQ, JJU	cq jju
I, WD	i wd
JK, ZYXOQ	jk zyxoq
RZXRTXS, V	rzxrtxs v
I, CU	i cu
ZY, XEQVJFKHYK	zy xeqvjfkhyk
TR, CL	tr cl
T, S	t s
Y, Y	y y
BZVXO, JYGDRG	bzvxo jygdrg
SU, A	su a
KT, BWGCPFA	kt bwgcpfa
R, ZMG	r zmg
H, A	h a
KOC, LKCG	koc lkcg
B, G	b g
Z, D	z d
D, I	d i
HMTH, HSKLQ	hmth hsklq
OVPWLZ, KF	ovpwlz kf
MO, TY	mo ty
BP, RZYGF	bp rzygf
PA, IB	pa ib
Y, WCXWMZ	y wcxwmz
U, ZJ	u zj
CHNBO, J	chnbo j
T, JC	t jc
JBCSXT, NT	jbcsxt nt
OI, MPAVVNP	oi mpavvnp
C, MQY	c mqy
H, FZTK	h fztk
QO, RT	qo rt
R, RRASZ	r rrasz
JABTKGX, P	jabtkgx p
KX, ROQ	kx roq
DQ, G	dq g
EM, O	em o
JS, RU	js ru
W, O	w o
M, R	m r
XWJIQSAO, WA	xwjiqsao wa
AK, ZKDUWQ	ak zkduwq
X, AO	x ao
FPG, X	fpg x
M, GTL	m gtl
SLCQZ, SGJPBIP	slcqz sgjpbip
H, GZILWIFB	h gzilwifb
B, YNN	b ynn
V, ZSCBOU	v zscbou
X, T	x t
J, E	j e
GYJT, U	gyjt u
JT, UD	jt ud
M, JRKIEJ	m jrkiej
A, K	a k
H, LUG	h lug
BNPG, ANBGITVVKRZ	bnpg anbgitvvkrz
TTLIQ, K	ttliq k
JT, CGCTR	jt cgctr
IFM, ILZK	ifm ilzk
BNFF, LZ	bnff lz
ZMRXMZ, PWA	zmrxmz pwa
MN, URXBWBBEPAIHP	mn urxbwbbepaihp
O, T	o t
EWD, B	ewd b
FUQM, GTTE	fuqm gtte
FAA, YQRHYDAFJ	faa yqrhydafj
JSG, I	jsg i
R, H	r h
CIM, F	cim f
ZSOKC, F	zsokc f
ZWUH, AC	zwuh ac
L, XD	l xd
H, N	h n
N, YR	n yr
QQJZ, KKJJ	qqjz kkjj
TOC, KJ	toc kj
G, XX	g xx
ZEC, OBW	zec obw
XRFXI, M	xrfxi m
DX, RQUFL	dx rqufl
ECSDHYOKG, SY	ecsdhyokg sy
A, EO	a eo
P, UL	p ul
M, IJ	m ij
YQK, G	yqk g
H, FAHF	h fahf
DQ, GG	dq gg
LCU, J	lcu j
LK, Y	lk y
EWK, DVX	ewk dvx
SD, FTW	sd ftw
XPNW, Y	xpnw y
Z, AL	z al
V, TWO	v two
UPZZT, N	upzzt n
ZRESF, W	zresf w
RKFV, SPVFVDFZ	rkfv spvfvdfz
UG, D	ug d
ZNH, EBO	znh ebo
BY, GW	by gw
ZHZNHPVZZA, X	zhznhpvzza x
INQB, F	inqb f
QXI, D	qxi d
WVWA, UT	wvwa ut
I, JUI	i jui
YP, XCX	yp xcx
Y, AWVW	y awvw
SF, JXS	sf jxs
F, RH	f rh
R, C	r c
D, HQ	d hq
WM, OSABFJ	wm osabfj
BMEZX, VXR	bmezx vxr
F, A	f a
JC, VDQE	jc vdqe
VGMCYFA, GA	vgmcyfa ga
USYKV, ZVJJ	usykv zvjj
GXGP, CIDFNPPS	gxgp cidfnpps
C, CQWO	c cqwo
IMP, UZ	imp uz
U, YK	u yk
C, EDMNZG	c edmnzg
KX, Y	kx y
L, SE	l se
KEFZE, J	kefze j
BNRZ, EV	bnrz ev
DOJDE, MC	dojde mc
A, T	a t
OTS, ZT	ots zt
ME, INO	me ino
OFO, KN	ofo kn
V, CHPJUNB	v chpjunb
BD, UJLKOEWT	bd ujlkoewt
VXCZINOXA, H	vxczinoxa h
RM, TVJ	rm tvj
L, A	l a
DOVM, Z	dovm z
FLJ, WML	flj wml
ZCA, GCC	zca gcc
C, MS	c ms
VWWA, O	vwwa o
N, S	n s
LA, E	la e
UI, R	ui r
IB, U	ib u
GO, U	go u
YIA, TZ	yia tz
U, Q	u q
I, GE	i ge
TL, ACCLVGA	tl acclvga
D, BVGJJLBX	d bvgjjlbx
YX, TZZEN	yx tzzen
O, N	o n
UHHHNTO, PG	uhhhnto pg
J, I	j i
JVZGDBBJ, AH	jvzgdbbj ah
L, G	l g
E, PI	e pi
SATBUL, YKQ	satbul ykq
VAHT, P	vaht p
U, KJMXHGA	u kjmxhga
SM, FQD	sm fqd
J, W	j w
D, HF	d hf
YERFU, E	yerfu e
KJG, J	kjg j
EJ, XUX	ej xux
BRYL, D	bryl d
M, O	m o
AN, I	an i
U, ESYY	u esyy
MCQB, DP	mcqb dp
XOOW, CN	xoow cn
Q, HFKGBB	q hfkgbb
LS, U	ls u
DHTVDY, NSQ	dhtvdy nsq
OURR, VM	ourr vm
BN, VUF	bn vuf
DODRWJKEQ, IIMP	dodrwjkeq iimp
IM, Z	im z
SL, TABWID	sl tabwid
M, N	m n
IZ, HSAO	iz hsao
R, JC	r jc
XL, O	xl o
LVM, Q	lvm q
N, X	n x
X, QZKD	x qzkd
YGS, UV	ygs uv
LAFPGJUQ, YPNMGTBH	lafpgjuq ypnmgtbh
X, N	x n
Z, W	z w
VYY, G	vyy g
NZGOBS, V	nzgobs v
Q, Q	q q
Z, B	z b
FU, JTR	fu jtr
RBP, J	rbp j
VR, F	vr f
H, M	h m
DQI, PO	dqi po
AH, DDM	ah ddm
O, FH	o fh
RDVR, TBC	rdvr tbc
G, IC	g ic
AMOD, XG	amod xg
NBJ, QL	nbj ql
MKRE, TH	mkre th
TGALDW, WRRT	tgaldw wrrt
ZRANPQIXRVDX, S	zranpqixrvdx s
P, SY	p sy
ABFY, LB	abfy lb
ZOP, D	zop d
DH, I	dh i
P, DF	p df
S, F	s f
IS, XSAHA	is xsaha
GY, RG	gy rg
JA, DMGJ	ja dmgj
YL, CP	yl cp
LW, C	lw c
H, BN	h bn
WNFR, A	wnfr a
PQ, SQMYRDC	pq sqmyrdc
NAPPUVBPTWI, YUM	nappuvbptwi yum
B, TAEAFIAX	b taeafiax
LXB, VLBWZ	lxb vlbwz
DF, N	df n
N, DCESEVSG	n dcesevsg
GID, G	gid g
ND, E	nd e
J, AJ	j aj
HKVM, MZWIKZ	hkvm mzwikz
K, MZS	k mzs
Y, UY	y uy
RHI, T	rhi t
QCE, I	qce i
H, NL	h nl
I, RO	i ro
HLHZ, J	hlhz j
R, MBSDYHLS	r mbsdyhls
CH, Q	ch q
TTGHI, NM	ttghi nm
U, PQ	u pq
QGMLS, GJE	qgmls gje
TP, VGDDR	tp vgddr
R, E	r e
E, M	e m
CVZNM, QLN	cvznm qln
V, HG	v hg
PRY, VQWR	pry vqwr
YK, S	yk s
YWBBMOU, DA	ywbbmou da
X, D	x d
H, G	h g
MJG, CC	mjg cc
GD, AFCU	gd afcu
FIPJ, X	fipj x
UBFA, Z	ubfa z
GGZ, SS	ggz ss
K, HNA	k hna
O, DH	o dh
H, OK	h ok
ZY, J	zy j
N, V	n v
H, KJKLAY	h kjklay
R, AB	r ab
RKFX, E	rkfx e
HB, L	hb l
O, Q	o q
URU, H	uru h
DWEXV, FOJ	dwexv foj
ILW, V	ilw v
KG, NIM	kg nim
MUEOF, O	mueof o
TPRBN, L	tprbn l
DZAIVIDWH, I	dzaividwh i
NMS, PPMR	nms ppmr
U, BUGJ	u bugj
A, YO	a yo
OMM, BB	omm bb
N, N	n n
FNT, QF	fnt qf
I, IRGD	i irgd
A, AU	a au
WS, W	ws w
L, C	l c
XWMRO, BPA	xwmro bpa
POEXNPAC, UDBP	poexnpac udbp
R, D	r d
J, UQKT	j uqkt
DUSUCRW, MW	dusucrw mw
UQJFUV, MM	uqjfuv mm
LQS, EGX	lqs egx
X, GNW	x gnw
WF, N	wf n
MBG, YM	mbg ym
AFW, YFPY	afw yfpy
MJU, KT	mju kt
ACSEK, BV	acsek bv
E, S	e s
YLK, LGKKJN	ylk lgkkjn
K, WFP	k wfp
WNRORUM, XFU	wnrorum xfu
CLI, X	cli x
YR, DZ	yr dz
MDI, YL	mdi yl
VI, O	vi o
E, T	e t
TRXXC, E	trxxc e
S, FS	s fs
ZS, P	zs p
I, A	i a
V, I	v i
C, R	c r
AHABR, VTX	ahabr vtx
X, SD	x sd
R, DIC	r dic
JE, P	je p
Z, TEMUOP	z temuop
A, DUA	a dua
DZNEVVR, PB	dznevvr pb
Q, M	q m
VI, R	vi r
W, F	w f
M, TUUWS	m tuuws
J, LZ	j lz
GHGJQ, KA	ghgjq ka
XMA, WDQPV	xma wdqpv
G, KNJ	g knj
KXEI, O	kxei o
ORJAGB, RI	orjagb ri
TSE, Q	tse q
US, Z	us z
BCG, VFWN	bcg vfwn
AZMDVTTYZXI, XF	azmdvttyzxi xf
DHTYF, IZRQSVK	dhtyf izrqsvk
GSE, GU	gse gu
WO, M	wo m
BHROGNUJRR, H	bhrognujrr h
V, ZIWOY	v ziwoy
DVQ, SD	dvq sd
PHEOQGY, Y	pheoqgy y
Y, C	y c
C, S	c s
O, ZZ	o zz
LH, VF	lh vf
X, NL	x nl
HUSWC, FX	huswc fx
ZJL, M	zjl m
L, ZFP	l zfp
QBB, G	qbb g
NCLU, M	nclu m
K, R	k r
L, GBGNZXGR	l gbgnzxgr
K, XX	k xx
G, MY	g my
M, JG	m jg
KIR, ZC	kir zc
V, X	v x
LQIMHHFA, EBTB	lqimhhfa ebtb
K, W	k w
GGTFEOQN, AI	ggtfeoqn ai
YLP, R	ylp r
XTNCJYMT, XCQXAZBOCVLQZV	xtncjymt xcqxazbocvlqzv
LUVRBU, F	luvrbu f
L, S	l s
OU, V	ou v
UKLG, AWFCRX	uklg awfcrx
R, YM	r ym
GME, GF	gme gf
NGJY, O	ngjy o
QD, OD	qd od
OLOEQ, BTTF	oloeq bttf
Z, ZYDVEE	z zydvee
F, Q	f q
QOQ, W	qoq w
U, QZOG	u qzog
NE, EL	ne el
ZS, KCH	zs kch
KQDA, C	kqda c
R, XUMVM	r xumvm
N, V	n v
D, X	d x
KU, K	ku k
M, U	m u
PEI, KDV	pei kdv
T, WMYHBP	t wmyhbp
OMHL, VHAGF	omhl vhagf
C, D	c d
PX, CY	px cy
H, SQ	h sq
U, LK	u lk
R, OILCTSUZ	r oilctsuz
NGF, E	ngf e
V, BW	v bw
LM, C	lm c
Z, YQ	z yq
JZY, B	jzy b
ULE, ES	ule es
MWUL, O	mwul o
LY, G	ly g
N, Q	n q
B, HA	b ha
J, LN	j ln
EHX, AK	ehx ak
A, YHRHOL	a yhrhol
PHP, XH	php xh
M, E	m e
F, CT	f ct
J, QSBGP	j qsbgp
VF, VL	vf vl
PMHL, CXSYN	pmhl cxsyn
L, ZT	l zt
NO, L	no l
R, D	r d
J, AZDL	j azdl
H, A	h a
I, Q	i q
AWTKRP, X	awtkrp x
R, I	r i
AZTR, NS	aztr ns
CGAKNXH, XNS	cgaknxh xns
T, CIC	t cic
GD, ZAZZ	gd zazz
T, LXSK	t lxsk
S, US	s us
VL, WRDGSPG	vl wrdgspg
ISTT, DZON	istt dzon
E, M	e m
PFTLNQ, F	pftlnq f
LGIXSP, PWIYQ	lgixsp pwiyq
DXO, LMY	dxo lmy
OJTKG, Z	ojtkg z
BDPHTWQ, PQAM	bdphtwq pqam
OU, F	ou f
QYGT, YE	qygt ye
LRKX, R	lrkx r
CSBKF, HSO	csbkf hso
UG, WUV	ug wuv
WZPO, RL	wzpo rl
P, U	p u
YNHKT, QRP	ynhkt qrp
N, GODJL	n godjl
L, O	l o
W, UUQ	w uuq
I, C	i c
MFQH, HNQD	mfqh hnqd
A, RBQ	a rbq
P, RTJZTGCIFIEL	p rtjztgcifiel
EY, RNINB	ey rninb
ZMCW, QUQKTVJKXWWHK	zmcw quqktvjkxwwhk
Y, SG	y sg
BSH, SEGP	bsh segp
SKREXR, E	skrexr e
OGOD, Q	ogod q
P, SDLO	p sdlo
ST, H	st h
JF, P	jf p
F, B	f b
UPOXUEWUA, J	upoxuewua j
O, WXP	o wxp
H, O	h o
JQ, A	jq a
I, R	i r
W, U	w u
VGG, Y	vgg y
LSTSU, AE	lstsu ae
OMPYX, L	ompyx l
L, O	l o
HOY, LN	hoy ln
HY, URCXOR	hy urcxor
S, IA	s ia
SU, E	su e
T, Y	t y
KYA, CCMBHHMBN	kya ccmbhhmbn
MBKMG, KTO	mbkmg kto
K, J	k j
OH, QLY	oh qly
IYI, G	iyi g
U, X	u x
VVMVV, C	vvmvv c
W, IPEYSZTH	w ipeyszth
C, A	c a
DDKH, GOPGIXDJT	ddkh gopgixdjt
Q, DY	q dy
SGQ, CT	sgq ct
V, TJV	v tjv
XNAKAZ, OWIQ	xnakaz owiq
BU, DB	bu db
M, ZK	m zk
L, R	l r
VOM, U	vom u
F, XX	f xx
QO, CJJ	qo cjj
Y, UUP	y uup
C, X	c x
B, K	b k
V, G	v g
WSPQ, HH	wspq hh
JYO, HSAZUHMI	jyo hsazuhmi
JNGH, G	jngh g
J, UMU	j umu
DPRSS, G	dprss g
TC, P	tc p
HNBXVXEG, SC	hnbxvxeg sc
N, BLL	n bll
N, C	n c
MDH, L	mdh l
CPO, W	cpo w
RVO, VNB	rvo vnb
W, A	w a
Z, B	z b
T, RCRDFAH	t rcrdfah
A, X	a x
NQZF, Z	nqzf z
RE, ENN	re enn
WNEOC, CZLB	wneoc czlb
A, HWE	a hwe
VHB, L	vhb l
G, Z	g z
TM, R	tm r
S, Q	s q
GBYJZXIF, UDL	gbyjzxif udl
P, R	p r
OCJLBKUTSY, M	ocjlbkutsy m
YSZ, QKXR	ysz qkxr
B, MQ	b mq
MXFEEZ, ZOFNZ	mxfeez zofnz
L, WE	l we
VG, IORXA	vg iorxa
N, AL	n al
U, VGOIGHZE	u vgoighze
J, WGS	j wgs
T, S	t s
GAXYC, EWW	gaxyc eww
PW, H	pw h
N, N	n n
LN, DI	ln di
G, GGAD	g ggad
ZG, S	zg s
SFWQYQD, MI	sfwqyqd mi
U, H	u h
ANHNPA, KPP	anhnpa kpp
Q, GI	q gi
QR, QCNR	qr qcnr
H, N	h n
R, JMWHO	r jmwho
LI, Q	li q
W, KZOL	w kzol
KQ, IR	kq ir
SU, X	su x
DV, R	dv r
GC, M	gc m
TDA, D	tda d
BR, O	br o
W, MT	w mt
BGNHP, NB	bgnhp nb
AVXY, H	avxy h
I, UQ	i uq
WIQI, A	wiqi a
S, J	s j
K, H	k h
SY, B	sy b
N, Z	n z
C, BC	c bc
DVV, ETEKC	dvv etekc
CV, FSTLRL	cv fstlrl
K, EVWFFWTJ	k evwffwtj
AWUSCF, OD	awuscf od
DERY, U	dery u
R, LOO	r loo
PLMPAG, ZAP	plmpag zap
O, Q	o q
O, IC	o ic
N, SFBRRFYSR	n sfbrrfysr
F, D	f d
AA, P	aa p
E, VP	e vp
BJQ, RVG	bjq rvg
V, ESJSJTB	v esjsjtb
XPWH, EH	xpwh eh
CDI, TN	cdi tn
Y, M	y m
E, EQWL	e eqwl
X, FWB	x fwb
C, DE	c de
AQZ, YWXB	aqz ywxb
ZVNPXRO, YOD	zvnpxro yod
O, G	o g
EAFMSZD, Y	eafmszd y
TM, LQ	tm lq
X, QT	x qt
NE, YLD	ne yld
I, Q	i q
FZQ, QZ	fzq qz
BNOBW, VQ	bnobw vq
WA, CBD	wa cbd
V, LXMI	v lxmi
Z, R	z r
DGGJGM, XN	dggjgm xn
HLLA, GSAH	hlla gsah
F, T	f t
YV, E	yv e
AQZA, M	aqza m
IVI, Z	ivi z
XO, OQCQK	xo oqcqk
R, M	r m
Y, UC	y uc
D, PM	d pm
X, H	x h
RJGWMOWZTR, S	rjgwmowztr s
ZGYMLJ, KAZAQRHONBYXEL	zgymlj kazaqrhonbyxel
MX, MN	mx mn
E, XVLQYGAL	e xvlqygal
S, BE	s be
JVGSWVGEA, E	jvgswvgea e
I, V	i v
RLTPS, WUNDO	rltps wundo
K, XTJZ	k xtjz
BWRH, ID	bwrh id
R, J	r j
NF, VZ	nf vz
QN, PVLXED	qn pvlxed
W, E	w e
FXMM, UZ	fxmm uz
XKRKJ, OOK	xkrkj ook
J, DIU	j diu
L, IP	l ip
V, FKHWKLGIYZ	v fkhwklgiyz
OF, PQTTFI	of pqttfi
KE, T	ke t
D, Z	d z
KES, DH	kes dh
UOXAR, GK	uoxar gk
HU, U	hu u
M, MD	m md
J, F	j f
U, UBYQ	u ubyq
JFXCZ, GES	jfxcz ges
NHR, FZMH	nhr fzmh
J, U	j u
O, IG	o ig
JDSAOAW, F	jdsaoaw f
Q, Y	q y
KMBG, SZPYIU	kmbg szpyiu
WEBMT, MSDTQ	webmt msdtq
U, TW	u tw
MF, DWHBWJAXWT	mf dwhbwjaxwt
TW, S	tw s
BW, VT	bw vt
YPHYLMU, CJ	yphylmu cj
ZPSCRKF, O	zpscrkf o
JY, G	jy g
S, U	s u
OIW, KRQ	oiw krq
II, O	ii o
W, R	w r
J, AZBS	j azbs
FFJGS, AUF	ffjgs auf
S, RK	s rk
FUN, CIVVDI	fun civvdi
QA, AK	qa ak
RV, VAQHYK	rv vaqhyk
C, LQE	c lqe
K, M	k m
T, QV	t qv
WES, FOA	wes foa
RMXKG, XH	rmxkg xh
YYLZ, B	yylz b
M, IYFUE	m iyfue
EE, R	ee r
MK, V	mk v
YL, RJWP	yl rjwp
J, RJQU	j rjqu
Y, K	y k
TSYKXA, IT	tsykxa it
XBM, TCQQL	xbm tcqql
BSQY, ABHI	bsqy abhi
Q, DGB	q dgb
AO, ZU	ao zu
I, S	i s
UJ, IM	uj im
FP, HH	fp hh
W, RVDP	w rvdp
GF, Z	gf z
