3071112/112223611123131/1254	112223611123131/3071112/1254
21111111112/1122222223531/8058	1122222223531/21111111112/8058
5411111112/1222371111111122222223131/4377	1222371111111122222223131/5411111112/4377
6231112/11123631/4105	11123631/6231112/4105
53111112/1223931/9746	1223931/53111112/9746
7111112/1112222222222351123311239111222223631/9916	1112222222222351123311239111222223631/7111112/9916
3111111111112/1222301223211222361123711122222223212222223231/4978	1222301223211222361123711122222223212222223231/3111111111112/4978
2111112/1112331223331/9244	1112331223331/2111112/9244
4111112/1122230122223831/9973	1122230122223831/4111112/9973
6111112/111111112223912222361222222222231111122222222223331/5624	111111112223912222361222222222231111122222222223331/6111112/5624
71112/1123431/6781	1123431/71112/6781
41112/11123611223711222331111222351231123231/5897	11123611223711222331111222351231123231/41112/5897
91112/11112232111122231112222381222222223611123731/1750	11112232111122231112222381222222223611123731/91112/1750
631112/123231/8889	123231/631112/8889
32581112/12230123931/9342	12230123931/32581112/9342
52671031111111111111112/1112222301223531/6238	1112222301223531/52671031111111111111112/6238
0501112/11222301123131/5617	11222301123131/0501112/5617
81112/1222331123411233111230111111122222223231/9355	1222331123411233111230111111122222223231/81112/9355
623711111112/112371111233112223911223831/8775	112371111233112223911223831/623711111112/8775
44206328111112/111223231/3712	111223231/44206328111112/3712
5111112/1123331/0989	1123331/5111112/0989
671112/1222321223431/3497	1222321223431/671112/3497
57111111111111111112/1237111111222222381234123631/1266	1237111111222222381234123631/57111111111111111112/1266
261112/122222223631/3691	122222223631/261112/3691
02111112/1239123431/1119	1239123431/02111112/1119
24818681112/11111122341233122223612236111111123931/8435	11111122341233122223612236111111123931/24818681112/8435
619631711111112/1111222222223831/3593	1111222222223831/619631711111112/3593
5111112/111111123731/0309	111111123731/5111112/0309
9011111111111112/123312223412331223412391236123012223212351223211123412223131/4599	123312223412331223412391236123012223212351223211123412223131/9011111111111112/4599
71112/111111111222222391222331112222239123431/1756	111111111222222391222331112222239123431/71112/1756
590111111111112/11230111123411111111234122371123331/2754	11230111123411111111234122371123331/590111111111112/2754
981112/11111223031/9444	11111223031/981112/9444
211111111111112/122311123811112222222234111122222223931/3500	122311123811112222222234111122222223931/211111111111112/3500
021112/111223811111122361223231/0343	111223811111122361223231/021112/0343
31112/11223431/2839	11223431/31112/2839
50111112/1111123931/0167	1111123931/50111112/0167
611111112/1230122222238111222232122361111233123631/5405	1230122222238111222232122361111233123631/611111112/5405
41112/11222222301122222222239123631/4545	11222222301122222222239123631/41112/4545
302111112/112233112223411111222301111122391123031/5456	112233112223411111222301111122391123031/302111112/5456
21111111112/1122301123731/6550	1122301123731/21111111112/6550
0825851112/11111122238111230122235123631/2880	11111122238111230122235123631/0825851112/2880
99111112/12222331112223831/6881	12222331112223831/99111112/6881
911112/123711223131/0311	123711223131/911112/0311
61051112/122381236123831/6776	122381236123831/61051112/6776
71112/112223131/5200	112223131/71112/5200
795111112/1112223531/9792	1112223531/795111112/9792
621111111111111112/1233123731/8905	1233123731/621111111111111112/8905
1871112/111111122331122237122391111237123931/6248	111111122331122237122391111237123931/1871112/6248
5111111112/123531/8701	123531/5111111112/8701
46111112/123811222223411122331123031/1688	123811222223411122331123031/46111112/1688
71112/112301111122236111122223231/7620	112301111122236111122223231/71112/7620
6868111112/123831/2561	123831/6868111112/2561
6977511111112/123512233111223331/7206	123512233111223331/6977511111112/7206
7839111112/123011223631/9055	123011223631/7839111112/9055
10111112/11223811112223031/9506	11223811112223031/10111112/9506
1111111111112/1223031/2447	1223031/1111111111112/2447
95111111111112/11123411123231/8484	11123411123231/95111111111112/8484
68471111111112/1111111223031/9710	1111111223031/68471111111112/9710
7501112/111123611222234111222341112231123531/6112	111123611222234111222341112231123531/7501112/6112
7111112/123131/8944	123131/7111112/8944
0601112/12223831/1377	12223831/0601112/1377
01112/12222223731/1557	12222223731/01112/1557
050351112/1112232123111111222223931/5395	1112232123111111222223931/050351112/5395
0111112/123031/9237	123031/0111112/9237
7935711111112/111111111111111123811232112238122223031/6044	111111111111111123811232112238122223031/7935711111112/6044
1924111112/1223111111111239112232112222233111122223331/9487	1223111111111239112232112222233111122223331/1924111112/9487
8411111112/1238111122239122230111239111123031/9314	1238111122239122230111239111123031/8411111112/9314
80683680541112/1111111111222223531/8977	1111111111222223531/80683680541112/8977
60411111112/111112222222381111122223731/4051	111112222222381111122223731/60411111112/4051
41111112/1123711223831/3113	1123711223831/41111112/3113
7111112/1111223311223411223912391222222222223911111230111112222223431/0541	1111223311223411223912391222222222223911111230111112222223431/7111112/0541
41112/1111122223411123831/3357	1111122223411123831/41112/3357
391112/12223531/6347	12223531/391112/6347
861112/12223931/5659	12223931/861112/5659
0111112/1122351123512237123131/0049	1122351123512237123131/0111112/0049
11111111111111111111112/1122223411111222223531/3000	1122223411111222223531/11111111111111111111112/3000
61112/1237123031/8526	1237123031/61112/8526
551112/11123131/8322	11123131/551112/8322
72111112/11222311231122371112223931/4243	11222311231122371112223931/72111112/4243
51111111111111112/123131/4590	123131/51111111111111112/4590
891112/1111123731/6839	1111123731/891112/6839
8111112/111111123011112381222232123831/0219	111111123011112381222232123831/8111112/0219
6361112/123331/1879	123331/6361112/1879
69901112/1111111111112231123531/4737	1111111111112231123531/69901112/4737
41112/11222223931/9161	11222223931/41112/9161
11112/1123611223731/1675	1123611223731/11112/1675
761111111112/123731/7619	123731/761111111112/7619
92111111111112/111122321234122223212222391111222341123811111222222371222311123931/6705	111122321234122223212222391111222341123811111222222371222311123931/92111111111112/6705
0331112/1223831/3018	1223831/0331112/3018
8111111111111111112/122238111123512351123831/9210	122238111123512351123831/8111111111111111112/9210
21112/12222231122234111223411223931/7782	12222231122234111223411223931/21112/7782
62111112/123731/9903	123731/62111112/9903
83111112/12223531/6442	12223531/83111112/6442
21112/12236123731/3220	12236123731/21112/3220
455921112/112331123031/0539	112331123031/455921112/0539
69281112/111111236122223831/2468	111111236122223831/69281112/2468
9111112/111223131/5652	111223131/9111112/5652
711111111111111112/123711111223811222331122341232123531/4373	123711111223811222331122341232123531/711111111111111112/4373
87511111112/1233111122232123631/0550	1233111122232123631/87511111112/0550
5331111111111111112/1223431/1636	1223431/5331111111111111112/1636
004791112/1112238111112223712223731/2020	1112238111112223712223731/004791112/2020
7111112/1223731/3681	1223731/7111112/3681
11112/12223931/2624	12223931/11112/2624
41112/112223731/2092	112223731/41112/2092
71112/1222351223211111111111123231/3084	1222351223211111111111123231/71112/3084
33436411111112/122223612222223431/0022	122223612222223431/33436411111112/0022
11112/1231123631/8777	1231123631/11112/8777
391111111111111111111112/123831/0945	123831/391111111111111111111112/0945
090111112/1122222391233122341111222222222232123611223811112233123131/2175	1122222391233122341111222222222232123611223811112233123131/090111112/2175
61112/11111223131/4900	11111223131/61112/4900
37111112/1112321123911122222223931/9813	1112321123911122222223931/37111112/9813
5111112/11222223811222371112223931/7615	11222223811222371112223931/5111112/7615
2081112/1123931/4827	1123931/2081112/4827
51111111111111112/1223231/8525	1223231/51111111111111112/8525
671112/1111111231112223131/7658	1111111231112223131/671112/7658
53371912187111112/1111112341235123231/7616	1111112341235123231/53371912187111112/7616
4791112/11236122222223711222239123411236122222231122331223831/0524	11236122222223711222239123411236122222231122331223831/4791112/0524
25711111112/123112371112223631/8385	123112371112223631/25711111112/8385
737011111112/12222222222233123211222331232111112351122223012371222222223312301239122222223311123231/8553	12222222222233123211222331232111112351122223012371222222223312301239122222223311123231/737011111112/8553
211111111111111111111111112/122341223131/1464	122341223131/211111111111111111111111112/1464
46031211111112/11234111223831/3109	11234111223831/46031211111112/3109
2811111111111112/122223731/3892	122223731/2811111111111112/3892
2111112/122223431/7835	122223431/2111112/7835
7241111111111111111111111112/1123211223931/9506	1123211223931/7241111111111111111111111112/9506
30111112/111122361122234123431/8392	111122361122234123431/30111112/8392
881112/1112236112222223031/6224	1112236112222223031/881112/6224
91112/122233122222236122223531/5885	122233122222236122223531/91112/5885
9111112/1112233111111239122238123611123611234123712239111223631/7014	1112233111111239122238123611123611234123712239111223631/9111112/7014
7451561112/123911122223931/6746	123911122223931/7451561112/6746
01112/11112361112223411122351233123831/7959	11112361112223411122351233123831/01112/7959
42001112/122391112223631/4990	122391112223631/42001112/4990
77011111111112/11231122223211111111123731/4818	11231122223211111111123731/77011111111112/4818
133111112/1111123431/4519	1111123431/133111112/4519
31112/1112311111122232122236123431/6828	1112311111122232122236123431/31112/6828
771112/123031/3305	123031/771112/3305
2111112/123831/7907	123831/2111112/7907
611111112/122223431/8690	122223431/611111112/8690
51112/1111123231/1865	1111123231/51112/1865
028111112/12223031/1547	12223031/028111112/1547
51112/11112223311223231/5060	11112223311223231/51112/5060
8611111111111111111112/1111111223331/9208	1111111223331/8611111111111111111112/9208
13511111112/112301111230111223511122222331223831/7633	112301111230111223511122222331223831/13511111112/7633
146315932931112/1112222235112234111112371111223411111223231/4179	1112222235112234111112371111223411111223231/146315932931112/4179
9111112/1111111123311223631/6330	1111111123311223631/9111112/6330
07177111111111111111112/112301223231/6792	112301223231/07177111111111111111112/6792
4211111112/1222222223731/1348	1222222223731/4211111112/1348
6011111112/12222341123311112361112223031/2497	12222341123311112361112223031/6011111112/2497
7811111112/12301222223611112371122361222230111111112381222381223431/4273	12301222223611112371122361222230111111112381222381223431/7811111112/4273
00111111111112/11230112351223631/8458	11230112351223631/00111111111112/8458
8111112/12223612233122230122222361232123011223131/4196	12223612233122230122222361232123011223131/8111112/4196
911111112/1223611112223031/3107	1223611112223031/911111112/3107
945251111111111111112/1223131/5398	1223131/945251111111111111112/5398
9411111112/1123131/5398	1123131/9411111112/5398
181112/12222223511111223931/8122	12222223511111223931/181112/8122
04151111111112/12237123211111122222223831/6694	12237123211111122222223831/04151111111112/6694
417411111112/1111123931/7724	1111123931/417411111112/7724
381112/11111111234111223431/6532	11111111234111223431/381112/6532
181112/111222223712321111223431/5091	111222223712321111223431/181112/5091
1111112/11223431/7219	11223431/1111112/7219
2936111112/1222222222236123931/2412	1222222222236123931/2936111112/2412
340111111111111111112/122222222223831/5650	122222222223831/340111111111111111112/5650
21112/1223231/9496	1223231/21112/9496
38391111111112/12223831/6395	12223831/38391111111112/6395
36111112/122223131/3951	122223131/36111112/3951
311111112/12223331/2216	12223331/311111112/2216
81112/11235111112222361122234111223212223611239123611222223631/4190	11235111112222361122234111223212223611239123611222223631/81112/4190
79584071111111112/1122236112351223531/1413	1122236112351223531/79584071111111112/1413
0391111111112/12371111122341123731/9855	12371111122341123731/0391111111112/9855
131112/123731/9968	123731/131112/9968
810181111111112/111223931/3261	111223931/810181111111112/3261
21112/1122341112233123131/3561	1122341112233123131/21112/3561
23381112/1122391111233123731/7173	1122391111233123731/23381112/7173
81112/11236122223931/1218	11236122223931/81112/1218
0689111111111112/12311111223031/0107	12311111223031/0689111111111112/0107
67111111111112/123231/3928	123231/67111111111112/3928
381112/112222321122223931/1132	112222321122223931/381112/1132
31111111112/122321235123931/8347	122321235123931/31111111112/8347
41112/12223111222223711112236111223431/7832	12223111222223711112236111223431/41112/7832
470062111112/11122321122223831/6382	11122321122223831/470062111112/6382
7011111112/11111122223812232112361222222223431/4400	11111122223812232112361222222223431/7011111112/4400
4111111111111111112/1223131/8267	1223131/4111111111111111112/8267
0526811111112/111111123631/9113	111111123631/0526811111112/9113
51111111112/1223731/8487	1223731/51111111112/8487
879111112/12381222223431/4293	12381222223431/879111112/4293
81111111112/1223411230111223131/2540	1223411230111223131/81111111112/2540
61112/1223931/0070	1223931/61112/0070
1011111112/112222301112222311223331/6188	112222301112222311223331/1011111112/6188
421112/1236123311222223812223731/9368	1236123311222223812223731/421112/9368
01112/111122239123631/9516	111122239123631/01112/9516
771112/111223331/4395	111223331/771112/4395
01111111112/111123111111123812361232122223831/0544	111123111111123812361232122223831/01111111112/0544
911111112/12381112237123431/4119	12381112237123431/911111112/4119
479111112/1112222301223431/0796	1112222301223431/479111112/0796
931112/11123531/6217	11123531/931112/6217
181111111112/12239123531/4295	12239123531/181111111112/4295
72696111112/111222391111223331/3405	111222391111223331/72696111112/3405
511112/12231123931/0723	12231123931/511112/0723
91112/123931/4198	123931/91112/4198
42111112/1122381123231/7025	1122381123231/42111112/7025
011112/123131/7144	123131/011112/7144
71112/111123531/0179	111123531/71112/0179
08861111111112/1223311122236123531/5823	1223311122236123531/08861111111112/5823
841112/123331/0187	123331/841112/0187
3821112/11112222351123131/6363	11112222351123131/3821112/6363
8111111111111111111111112/1222222223611111122223931/8167	1222222223611111122223931/8111111111111111111111112/8167
0311111112/1123911223431/5880	1123911223431/0311111112/5880
7111111111112/123911222235123331/4157	123911222235123331/7111111111112/4157
4311111111111112/11123931/2966	11123931/4311111111111112/2966
18281112/11234123831/9391	11234123831/18281112/9391
401112/1231123612301112238112223131/4324	1231123612301112238112223131/401112/4324
70853710731112/123412223612235123912223911222222222222223512223231/7614	123412223612235123912223911222222222222223512223231/70853710731112/7614
1535111111111111111112/11231111111232123231/1387	11231111111232123231/1535111111111111111112/1387
921111111112/12222222223931/1725	12222222223931/921111111112/1725
8311111111111111111112/122361112234122341123131/8910	122361112234122341123131/8311111111111111111112/8910
63111112/1123631/3492	1123631/63111112/3492
311111112/11223811112351111223931/2465	11223811112351111223931/311111112/2465
511111112/11111223131/2386	11111223131/511111112/2386
1012171112/111123831/6680	111123831/1012171112/6680
5581111111112/111237122233112222230111223231/0871	111237122233112222230111223231/5581111111112/0871
71112/11222222223431/8114	11222222223431/71112/8114
81112/11111223831/6577	11111223831/81112/6577
1111112/112301223031/4720	112301223031/1111112/4720
01111111112/1112223031/0147	1112223031/01111111112/0147
01112/123311111223212381112223312351238123912231122223631/3246	123311111223212381112223312351238123912231122223631/01112/3246
61851112/1123431/6545	1123431/61851112/6545
3304411111112/122351122222321222331223831/8403	122351122222321222331223831/3304411111112/8403
1111112/11111222341123611223311111123831/5743	11111222341123611223311111123831/1111112/5743
299711112/11223512230123412222222371123412321112311223831/0643	11223512230123412222222371123412321112311223831/299711112/0643
0111112/11123731/5281	11123731/0111112/5281
95911111112/11112222223431/7178	11112222223431/95911111112/7178
6111112/11223411222311222222222361222223331/4671	11223411222311222222222361222223331/6111112/4671
52111112/1122223431/0471	1122223431/52111112/0471
91112/123831/0215	123831/91112/0215
71112/12239111112223631/4180	12239111112223631/71112/4180
9991112/111122222222222233111235111223931/8628	111122222222222233111235111223931/9991112/8628
51112/1112223331/3829	1112223331/51112/3829
641112/123612223511222223831/7118	123612223511222223831/641112/7118
3761112/1123731/8300	1123731/3761112/8300
31112/1122391123331/0553	1122391123331/31112/0553
89511111112/1122223731/6974	1122223731/89511111112/6974
861112/11111112223031/4032	11111112223031/861112/4032
0029811111111111111111112/1112223531/8684	1112223531/0029811111111111111111112/8684
7111111112/1123112391111231112222222371222223012222222223531/6656	1123112391111231112222222371222223012222222223531/7111111112/6656
9111112/11122223331/0167	11122223331/9111112/0167
17611112/1123131/3259	1123131/17611112/3259
2111111111112/111123931/9852	111123931/2111111111112/9852
5371111111112/1111111123431/1607	1111111123431/5371111111112/1607
93611111111111112/1223431/2122	1223431/93611111111111112/2122
21112/1123631/6632	1123631/21112/6632
951111112/111112223911112223411223831/3208	111112223911112223411223831/951111112/3208
9310111111111111111112/12223331/5455	12223331/9310111111111111111112/5455
5671112/11222222223731/0818	11222222223731/5671112/0818
01112/112223331/0483	112223331/01112/0483
491111111112/1111122222236111222222321111111112222222222361111122331123131/4017	1111122222236111222222321111111112222222222361111122331123131/491111111112/4017
991112/1112223211123831/0900	1112223211123831/991112/0900
0991111111112/1111123631/2705	1111123631/0991111111112/2705
2716901112/1222351112238111122230111222222223311123931/8259	1222351112238111122230111222222223311123931/2716901112/8259
411111112/111112222232122222222238122321235111233123231/9841	111112222232122222222238122321235111233123231/411111112/9841
31112/1123131/0745	1123131/31112/0745
8211111112/1111222222301123531/1706	1111222222301123531/8211111112/1706
711111112/112222222341237112234123631/3723	112222222341237112234123631/711111112/3723
931112/122223211222222361122237122223211122222341111222341111223431/2527	122223211222222361122237122223211122222341111222341111223431/931112/2527
897111112/1111223211111223931/1121	1111223211111223931/897111112/1121
61112/122321231123412223531/4285	122321231123412223531/61112/4285
61112/12223812331111123131/2945	12223812331111123131/61112/2945
55111112/1122222222223031/1572	1122222222223031/55111112/1572
8111112/11222351222235122391222236111123431/6065	11222351222235122391222236111123431/8111112/6065
723511111112/11111111111223231/0318	11111111111223231/723511111112/0318
8111112/111123831/9378	111123831/8111112/9378
51111111112/122341111222232111239122331235112222341234111122222230111111123012222223331/8569	122341111222232111239122331235112222341234111122222230111111123012222223331/51111111112/8569
551112/122223331/5855	122223331/551112/5855
8111112/1123431/2458	1123431/8111112/2458
11112/111122234112311237122361222222239112391123612223231/2087	111122234112311237122361222222239112391123612223231/11112/2087
591111111112/1123731/0786	1123731/591111111112/0786
011111111111111112/12321222223931/1009	12321222223931/011111111111111112/1009
194111111111112/122222222341122223311223231/3522	122222222341122223311223231/194111111111112/3522
411111112/111111112223031/1746	111111112223031/411111112/1746
071112/111112223631/9768	111112223631/071112/9768
4111112/11123512321230122222222321112381222321123431/1211	11123512321230122222222321112381222321123431/4111112/1211
02821112/111223511112238111238122222230122361111123411111123031/5193	111223511112238111238122222230122361111123411111123031/02821112/5193
15111111111112/1223731/6060	1223731/15111111111112/6060
15131112/122222230112223731/9877	122222230112223731/15131112/9877
26111112/12223631/8741	12223631/26111112/8741
11647811111111112/11223731/4686	11223731/11647811111111112/4686
511112/12222223731/9682	12222223731/511112/9682
3531112/12222222222223312222222361232112223931/3457	12222222222223312222222361232112223931/3531112/3457
51112/122381231112223731/2165	122381231112223731/51112/2165
171112/111122222234112222222222238112223431/1364	111122222234112222222222238112223431/171112/1364
41913111112/123231/7932	123231/41913111112/7932
270396011111112/1111112222222222222223231/4072	1111112222222222222223231/270396011111112/4072
301112/1112341223331/9899	1112341223331/301112/9899
027111112/11111122222391111223831/7543	11111122222391111223831/027111112/7543
195111112/1223231/2647	1223231/195111112/2647
931112/12341223811230112301222381223431/2805	12341223811230112301222381223431/931112/2805
151112/1223531/6775	1223531/151112/6775
711111112/112223731/5185	112223731/711111112/5185
62111112/1223431/2704	1223431/62111112/2704
91111111112/12223531/2252	12223531/91111111112/2252
31112/1123611223631/8883	1123611223631/31112/8883
671611111112/123712223911223911223711123831/7246	123712223911223911223711123831/671611111112/7246
711111111111112/111111111223931/4295	111111111223931/711111111111112/4295
74911111111111112/1111239111222223631/4622	1111239111222223631/74911111111111112/4622
66111111111111111112/122233111233122239112223031/0840	122233111233122239112223031/66111111111111111112/0840
8237111112/111223131/9598	111223131/8237111112/9598
3171111111112/111123531/2944	111123531/3171111111112/2944
99007111111111112/112222222371123331/3093	112222222371123331/99007111111111112/3093
21112/11111223911123231/5359	11111223911123231/21112/5359
72026111111111112/1123331/0441	1123331/72026111111111112/0441
1211111112/112351123731/6684	112351123731/1211111112/6684
411111111111112/1123111222311223431/0344	1123111222311223431/411111111111112/0344
6571111111111111112/111223011123811122237111111111123011111223631/7318	111223011123811122237111111111123011111223631/6571111111111111112/7318
5111112/111122223731/4378	111122223731/5111112/4378
783811111112/11222223831/0462	11222223831/783811111112/0462
6951112/1123631/0622	1123631/6951112/0622
61112/11122222351123831/9366	11122222351123831/61112/9366
71111111111111111111112/11223031/7160	11223031/71111111111111111111112/7160
011111112/111237112331222235111223612223211112223711123831/1180	111237112331222235111223612223211112223711123831/011111112/1180
731112/122371123231/6665	122371123231/731112/6665
01112/123031/2395	123031/01112/2395
41112/122223712223331/8558	122223712223331/41112/8558
600111112/12223712361112237112381111223631/5965	12223712361112237112381111223631/600111112/5965
731112/11222223631/8355	11222223631/731112/8355
311111112/112222232111122301112381223131/1620	112222232111122301112381223131/311111112/1620
21112/11111222361222223831/3547	11111222361222223831/21112/3547
610111111111111112/1112341123031/3716	1112341123031/610111111111111112/3716
61112/1112222223612341123531/8547	1112222223612341123531/61112/8547
61111112/11222223431/1149	11222223431/61111112/1149
21112/11112237122237123711111111222223931/8517	11112237122237123711111111222223931/21112/8517
7601112/11112222223231/8409	11112222223231/7601112/8409
3761112/11223731/7751	11223731/3761112/7751
6221112/1223631/1761	1223631/6221112/1761
051111111112/12361122223631/5061	12361122223631/051111111112/5061
41112/1222223531/9876	1222223531/41112/9876
411111111111112/1123231/4341	1123231/411111111111112/4341
4811111112/1222222238122239122223331/4937	1222222238122239122223331/4811111112/4937
8361821112/11111223411112301223031/3682	11111223411112301223031/8361821112/3682
2111112/122231111222236112231123931/7078	122231111222236112231123931/2111112/7078
0111111111112/123631/1911	123631/0111111111112/1911
00111111111111111111111112/111123031/8796	111123031/00111111111111111111111112/8796
83491111111112/112223531/1166	112223531/83491111111112/1166
4749611111112/111123231/9206	111123231/4749611111112/9206
91112/122331223631/4691	122331223631/91112/4691
01112/12231112371233123711111123531/3195	12231112371233123711111123531/01112/3195
681112/12351123012222223812230122321222223511123031/3277	12351123012222223812230122321222223511123031/681112/3277
4111111112/1111111223631/3024	1111111223631/4111111112/3024
9591111111112/11239111111122331112223131/4182	11239111111122331112223131/9591111111112/4182
01112/11111123331/8039	11111123331/01112/8039
30111112/11112230123131/5451	11112230123131/30111112/5451
7111112/11223712321223631/1519	11223712321223631/7111112/1519
30111111111111112/1123131/4921	1123131/30111111111111112/4921
21112/11112301123431/8319	11112301123431/21112/8319
61112/122301112223131/3883	122301112223131/61112/3883
798761111112/1122234111223631/2255	1122234111223631/798761111112/2255
4081112/11223631/9520	11223631/4081112/9520
6011111112/112222223411112391111123111233112223911122223611222223431/8979	112222223411112391111123111233112223911122223611222223431/6011111112/8979
6331112/122341122341111222381223631/0329	122341122341111222381223631/6331112/0329
7051111111112/1111122223931/3818	1111122223931/7051111111112/3818
41111111112/1123231/9747	1123231/41111111112/9747
561112/123531/2696	123531/561112/2696
28111111111112/11231112223731/7198	11231112223731/28111111111112/7198
22261111111111111112/1123031/8696	1123031/22261111111111111112/8696
41112/12321111222331235111111111223111231111112223931/2253	12321111222331235111111111223111231111112223931/41112/2253
0632611112/112351123731/8767	112351123731/0632611112/8767
9587050111112/1223211112301223431/5267	1223211112301223431/9587050111112/5267
654111111111112/1122222222235122222301223231/4581	1122222222235122222301223231/654111111111112/4581
681491112/122321111222301222222331111222236111112222222223111123731/2181	122321111222301222222331111222236111112222222223111123731/681491112/2181
351112/12222235112234123312223331/2973	12222235112234123312223331/351112/2973
69311111111111112/11111111223731/0051	11111111223731/69311111111111112/0051
9650011111112/11223531/1139	11223531/9650011111112/1139
1111112/111111123431/5194	111111123431/1111112/5194
1811111112/1123331/8730	1123331/1811111112/8730
31112/1112222222223431/0080	1112222222223431/31112/0080
0970911111111111112/111111112321223131/1817	111111112321223131/0970911111111111112/1817
4011111111111112/111223731/3961	111223731/4011111111111112/3961
71111111111111112/111122231122231122233111122341223431/3955	111122231122231122233111122341223431/71111111111111112/3955
89311111112/12223231/0102	12223231/89311111112/0102
1111111111111111111112/123131/2755	123131/1111111111111111111112/2755
411111112/1223831/9173	1223831/411111112/9173
775111112/111223231/2296	111223231/775111112/2296
61111111111111112/12232122351123412223911122235111123512222222237111238123331/4273	12232122351123412223911122235111123512222222237111238123331/61111111111111112/4273
21112/12223731/3238	12223731/21112/3238
7111112/1122234123911123112222237112391239111122223112222321122223812223431/0327	1122234123911123112222237112391239111122223112222321122223812223431/7111112/0327
7628321112/112237123831/3537	112237123831/7628321112/3537
61112/12223012321122232122321123311236122321223431/8309	12223012321122232122321123311236122321223431/61112/8309
8111112/111123431/9158	111123431/8111112/9158
571975631111111112/1123731/2070	1123731/571975631111111112/2070
211111112/12321223531/6124	12321223531/211111112/6124
41112/122230112222223131/4370	122230112222223131/41112/4370
358573921112/1122341233112381222371223131/7958	1122341233112381222371223131/358573921112/7958
21112/1223731/3516	1223731/21112/3516
01111111111111112/1112223831/4037	1112223831/01111111111111112/4037
61112/1123912341237122223331/5399	1123912341237122223331/61112/5399
13077901112/12331111223031/2887	12331111223031/13077901112/2887
911112/1111231111223011111123831/2589	1111231111223011111123831/911112/2589
29111112/1111122235111123731/9829	1111122235111123731/29111112/9829
54511112/1223912239122223731/2474	1223912239122223731/54511112/2474
61112/11223431/9269	11223431/61112/9269
9952700251112/1111223611222222235111222223912223031/7148	1111223611222222235111222223912223031/9952700251112/7148
7667161112/123831/5753	123831/7667161112/5753
0642111112/1123131/7887	1123131/0642111112/7887
2111112/1112232122223631/7738	1112232122223631/2111112/7738
61112/11112311111122235111223511123431/5571	11112311111122235111223511123431/61112/5571
4081112/122223931/1873	122223931/4081112/1873
1111112/1112361123011111112231111122222222311122222361123831/0540	1112361123011111112231111122222222311122222361123831/1111112/0540
346911111111111111111112/112230112223431/5737	112230112223431/346911111111111111111112/5737
511111112/111223931/4829	111223931/511111112/4829
78111112/111112301236112238112223431/0009	111112301236112238112223431/78111112/0009
431111111112/112331111111222222222223131/0476	112331111111222222222223131/431111111112/0476
541112/1223611233111123031/6766	1223611233111123031/541112/6766
8041112/11223831/2027	11223831/8041112/2027
6111112/1122391111230123312222222233123231/4058	1122391111230123312222222233123231/6111112/4058
24611111112/11111123812236112341111123231/8954	11111123812236112341111123231/24611111112/8954
31111111111112/111122222231111123831/1041	111122222231111123831/31111111111112/1041
61112/112371122223511122321111223912222321112239111222351122223631/9918	112371122223511122321111223912222321112239111222351122223631/61112/9918
71112/1112223031/3598	1112223031/71112/3598
91112/111122301122222301112223531/9675	111122301122222301112223531/91112/9675
4111112/111122222223731/0943	111122222223731/4111112/0943
11111112/122331222341122223711122236112222222381223731/3018	122331222341122223711122236112222222381223731/11111112/3018
711111112/112371122361123931/6782	112371122361123931/711111112/6782
52552811111112/1123911123731/0160	1123911123731/52552811111112/0160
397111112/112223931/5191	112223931/397111112/5191
69721112/1238123931/6562	1238123931/69721112/6562
260811111112/111111112234111111111222223431/2950	111111112234111111111222223431/260811111112/2950
9880111112/12331111112391111223731/0149	12331111112391111223731/9880111112/0149
524411111112/112222222223712223731/2906	112222222223712223731/524411111112/2906
5311111111111111111112/1123911111111222331222311235112361234123411223031/5983	1123911111111222331222311235112361234123411223031/5311111111111111111112/5983
02259111112/11223631/9593	11223631/02259111112/9593
211112/11111112223031/0309	11111112223031/211112/0309
481112/1231111111122236112223531/3140	1231111111122236112223531/481112/3140
24869111111111112/122239112222222301222222233112381123631/5507	122239112222222301222222233112381123631/24869111111111112/5507
81112/11239122391123031/4736	11239122391123031/81112/4736
151112/11123031/0726	11123031/151112/0726
79411111112/11111111112222331223611222341235112230123831/9856	11111111112222331223611222341235112230123831/79411111112/9856
9598811111111111112/111122222232123231/6026	111122222232123231/9598811111111111112/6026
317991112/122223911123931/7927	122223911123931/317991112/7927
861112/12223031/9198	12223031/861112/9198
31111112/111239123531/0901	111239123531/31111112/0901
24881112/112391123431/8866	112391123431/24881112/8866
01112/111222223831/2913	111222223831/01112/2913
21112/1112223931/4027	1112223931/21112/4027
21112/11223031/0448	11223031/21112/0448
995111111111112/1223611111123031/6183	1223611111123031/995111111111112/6183
41112/11236123931/1753	11236123931/41112/1753
81112/1111238123211111222231122223711111123431/4640	1111238123211111222231122223711111123431/81112/4640
135841112/12311223031/2313	12311223031/135841112/2313
32503122460095315111112/12311111238123931/9059	12311111238123931/32503122460095315111112/9059
9111112/1123712223331/2583	1123712223331/9111112/2583
80711111111111112/1222223531/3474	1222223531/80711111111111112/3474
911111112/1112222222331122222361223111230112391222311223631/6800	1112222222331122222361223111230112391222311223631/911111112/6800
9725111112/1223912223631/9229	1223912223631/9725111112/9229
611111112/11222223831/5292	11222223831/611111112/5292
153111112/12223231/2226	12223231/153111112/2226
501111111111111112/1112391123831/1966	1112391123831/501111111111111112/1966
91112/112223831/9646	112223831/91112/9646
9101112/123131/6738	123131/9101112/6738
77111112/12331123931/3143	12331123931/77111112/3143
