# _4C\n\nExplanation: \n	{"Pref"={"#comment"="_4C"}}{"Pref"={"Explanation"=""}}
# 2I\n	{"Pref"={"#comment"="2I"}}
# r\n	{"Pref"={"#comment"="r"}}
Pin-Priority: 48\n	{"Pref"={"Pin-Priority"="48"}}
Pin-Priority: 157\n	{"Pref"={"Pin-Priority"="157"}}
Pin: 7MbTeIv7h\n\n# e\n	{"Pref"={"Pin"="7MbTeIv7h"}}{"Pref"={"#comment"="e"}}
Package: dxhqZ\n	{"Pref"={"Package"="dxhqZ"}}
Explanation: \n\n# lptOzoAz\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="lptOzoAz"}}
Explanation: sPE\n\nPackage: *\n\nPin: \n\n# \n\nPin-Priority: 3\n\nPin-Priority: 10\n\nPin-Priority: 2\n\nPin: K\n\nPackage: *\n\nPin: mm7\n\nPin: 'P\n\nPin: \n	{"Pref"={"Explanation"="sPE"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="10"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin"="K"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="mm7"}}{"Pref"={"Pin"="'P"}}{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 82\n\nPackage: i\n\nExplanation: \n	{"Pref"={"Pin-Priority"="82"}}{"Pref"={"Package"="i"}}{"Pref"={"Explanation"=""}}
Pin: \n\nPin-Priority: 6\n\nPin: \n\nPin-Priority: 5346\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="5346"}}
Package: \n\n# \n\nExplanation: 1o/='\n\nPin-Priority: 7804\n\n# Fy\n\nExplanation: \n\nPin: C\n\nExplanation: \n\nPin: _IA3Aa\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="1o/='"}}{"Pref"={"Pin-Priority"="7804"}}{"Pref"={"#comment"="Fy"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="C"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="_IA3Aa"}}
Pin-Priority: 286\n\nPin: \n\n# \n\nPin-Priority: 179\n	{"Pref"={"Pin-Priority"="286"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="179"}}
Package: *\n\n# O_\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="O_"}}{"Pref"={"#comment"=""}}
Explanation: 9\n\nPin: 5n\n\nExplanation: \n	{"Pref"={"Explanation"="9"}}{"Pref"={"Pin"="5n"}}{"Pref"={"Explanation"=""}}
# Ox3\n\nPin: Oun\n	{"Pref"={"#comment"="Ox3"}}{"Pref"={"Pin"="Oun"}}
Explanation: TA2zewoI\n\nPin-Priority: 799\n\nPin: 1\n\nPackage: *\n	{"Pref"={"Explanation"="TA2zewoI"}}{"Pref"={"Pin-Priority"="799"}}{"Pref"={"Pin"="1"}}{"Pref"={"Package"="*"}}
Pin: \n\nPackage: w0\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="w0"}}
Pin: \n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
Package: O\n	{"Pref"={"Package"="O"}}
Pin: \n\nPin: E\n\n# \n\n# \n\nPin: 8\n\nExplanation: \n\nPin: K\n\nExplanation: y\n\n# 1uA\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="E"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="8"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="K"}}{"Pref"={"Explanation"="y"}}{"Pref"={"#comment"="1uA"}}
Pin-Priority: 2\n	{"Pref"={"Pin-Priority"="2"}}
Explanation: YXR\n\n# i\n\nPackage: *\n\nPin-Priority: 8773\n\nExplanation: \n	{"Pref"={"Explanation"="YXR"}}{"Pref"={"#comment"="i"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="8773"}}{"Pref"={"Explanation"=""}}
# \n\n# hC\n\nPin: '\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="hC"}}{"Pref"={"Pin"="'"}}
Explanation: e\n	{"Pref"={"Explanation"="e"}}
# .\n\n# xU\n\nPin-Priority: 8\n	{"Pref"={"#comment"="."}}{"Pref"={"#comment"="xU"}}{"Pref"={"Pin-Priority"="8"}}
# \n	{"Pref"={"#comment"=""}}
# 2\n\nPin-Priority: 4\n	{"Pref"={"#comment"="2"}}{"Pref"={"Pin-Priority"="4"}}
Pin: +FBk.2CC\n\nPackage: *\n\nExplanation: \n	{"Pref"={"Pin"="+FBk.2CC"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 15\n\nPackage: *\n\nExplanation: ebDi0\n\nPackage: *\n	{"Pref"={"Pin-Priority"="15"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="ebDi0"}}{"Pref"={"Package"="*"}}
# /o\n\nPackage: \n\n# 9rq\n\nPackage: *\n\nPackage: *\n\nPackage: \n\nPin: J\n\nExplanation: J\n\nPin-Priority: 12\n	{"Pref"={"#comment"="/o"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="9rq"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="J"}}{"Pref"={"Explanation"="J"}}{"Pref"={"Pin-Priority"="12"}}
Pin: 6\n	{"Pref"={"Pin"="6"}}
Pin: ZA\n\nPackage: qPn\n	{"Pref"={"Pin"="ZA"}}{"Pref"={"Package"="qPn"}}
Pin-Priority: 48\n	{"Pref"={"Pin-Priority"="48"}}
Pin-Priority: 001212\n\n# uLA\n\n# 1EHpT7\n	{"Pref"={"Pin-Priority"="001212"}}{"Pref"={"#comment"="uLA"}}{"Pref"={"#comment"="1EHpT7"}}
# Tac\n	{"Pref"={"#comment"="Tac"}}
Package: *\n\nPin: y\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="y"}}
Pin-Priority: 48\n	{"Pref"={"Pin-Priority"="48"}}
Pin: \n\nPin: 1\n\nPackage: N:E\n\n# :\n\nPackage: J-=\n\nPin-Priority: 01\n\nPackage: *\n\n# a\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="1"}}{"Pref"={"Package"="N:E"}}{"Pref"={"#comment"=":"}}{"Pref"={"Package"="J-="}}{"Pref"={"Pin-Priority"="01"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="a"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
Package: T79K\n\nPin-Priority: 2\n\nExplanation: M\n\nPackage: *\n\n# .\n\nExplanation: \n	{"Pref"={"Package"="T79K"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Explanation"="M"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="."}}{"Pref"={"Explanation"=""}}
Explanation: \n\nExplanation: \n\nPackage: *\n\n# _BVy\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"="_BVy"}}
Pin: \n	{"Pref"={"Pin"=""}}
# "\n\n# LVtx\n\n# ls\n\n# 2\n	{"Pref"={"#comment"="\""}}{"Pref"={"#comment"="LVtx"}}{"Pref"={"#comment"="ls"}}{"Pref"={"#comment"="2"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
# \n\nPackage: O1eHl\n\nPin-Priority: 70\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="O1eHl"}}{"Pref"={"Pin-Priority"="70"}}
Pin-Priority: 40807\n	{"Pref"={"Pin-Priority"="40807"}}
Pin: A\n\nPin: \n\nPin-Priority: 16\n\nExplanation: B\n\nExplanation: 8O\n	{"Pref"={"Pin"="A"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="16"}}{"Pref"={"Explanation"="B"}}{"Pref"={"Explanation"="8O"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n\nPin: e\n\nPin-Priority: 12505\n\nPackage: *\n\nExplanation: \n\nPin-Priority: 303\n\nPin: \n\nExplanation: v\n\n# X0.\n\n# +-HVO0\n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="e"}}{"Pref"={"Pin-Priority"="12505"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="303"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="v"}}{"Pref"={"#comment"="X0."}}{"Pref"={"#comment"="+-HVO0"}}{"Pref"={"Package"="*"}}
Package: \n	{"Pref"={"Package"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: za\n\nExplanation: \n	{"Pref"={"Pin"="za"}}{"Pref"={"Explanation"=""}}
Explanation: \n\n# /=W\n\nPin-Priority: 4\n\nExplanation: \n\nExplanation: G\n	{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="/=W"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="G"}}
# \n\nExplanation: x\n\n# :l\n\nPin-Priority: 1\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="x"}}{"Pref"={"#comment"=":l"}}{"Pref"={"Pin-Priority"="1"}}
Pin: \n\nExplanation: ca\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="ca"}}
# j\n\nPin-Priority: 7\n\nExplanation: 9'Do2\n\n# O4vQ\n	{"Pref"={"#comment"="j"}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"="9'Do2"}}{"Pref"={"#comment"="O4vQ"}}
# i\n	{"Pref"={"#comment"="i"}}
Pin: \n\nPin-Priority: 7\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="7"}}
Explanation: S2\n	{"Pref"={"Explanation"="S2"}}
Pin-Priority: 839\n\nPackage: *\n\nPackage: *\n	{"Pref"={"Pin-Priority"="839"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Pin: AL72\n\n# \n\nPin: \n	{"Pref"={"Pin"="AL72"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}
Pin-Priority: 617\n	{"Pref"={"Pin-Priority"="617"}}
Explanation: \n\nExplanation: K\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="K"}}
# nZ\n	{"Pref"={"#comment"="nZ"}}
Pin: \n\n# \n\n# g\n\nPackage: \n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="g"}}{"Pref"={"Package"=""}}
Package: *\n\n# \n\nExplanation: IP\n\nPin-Priority: 4\n\n# yK+LQ+LTX\n\nExplanation: \n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="IP"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"="yK+LQ+LTX"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Pin: 'o fv\n	{"Pref"={"Pin"="'o fv"}}
# y\n\nPackage: *\n	{"Pref"={"#comment"="y"}}{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 7064\n	{"Pref"={"Pin-Priority"="7064"}}
Pin: VZG\n	{"Pref"={"Pin"="VZG"}}
Package: *\n\nPackage: V\n\nPin-Priority: 55\n\nPackage: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="V"}}{"Pref"={"Pin-Priority"="55"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Pin-Priority: 4\n\nPin: +F8\n\nPackage: *\n\nPin: '\n	{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="+F8"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="'"}}
Explanation: 6\n\nPackage: *\n\nPin: "\n	{"Pref"={"Explanation"="6"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="""}}
Explanation:   \n	{"Pref"={"Explanation"="  "}}
Pin-Priority: 3\n\nPin-Priority: 1588\n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="1588"}}
# =\n\nPackage: u\n	{"Pref"={"#comment"="="}}{"Pref"={"Package"="u"}}
Pin-Priority: 541\n	{"Pref"={"Pin-Priority"="541"}}
Package: *\n\n# Uqtk\n\nPackage: U\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="Uqtk"}}{"Pref"={"Package"="U"}}{"Pref"={"#comment"=""}}
Pin: D3X_L\n	{"Pref"={"Pin"="D3X_L"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: z\n	{"Pref"={"Package"="z"}}
#  y\n	{"Pref"={"#comment"=" y"}}
Package: \n	{"Pref"={"Package"=""}}
Package: w\n\nExplanation: dDgr\n\nExplanation: BC\n\nExplanation: xzXa\n	{"Pref"={"Package"="w"}}{"Pref"={"Explanation"="dDgr"}}{"Pref"={"Explanation"="BC"}}{"Pref"={"Explanation"="xzXa"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: rdVC"\n	{"Pref"={"Pin"="rdVC""}}
Package: YR5\n\nPin-Priority: 47324\n	{"Pref"={"Package"="YR5"}}{"Pref"={"Pin-Priority"="47324"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\n# \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Pin: F\n\n# \n	{"Pref"={"Pin"="F"}}{"Pref"={"#comment"=""}}
# \n\nPin: \n\nPin-Priority: 92729\n\nExplanation: +Ig_\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="92729"}}{"Pref"={"Explanation"="+Ig_"}}
Pin-Priority: 694\n\nPackage: zX\n\nPackage: *\n\nPin-Priority: 414\n\nPin-Priority: 2\n	{"Pref"={"Pin-Priority"="694"}}{"Pref"={"Package"="zX"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="414"}}{"Pref"={"Pin-Priority"="2"}}
Pin: \n\nPin-Priority: 32\n\nPin-Priority: 8\n\nPin-Priority: 99\n\nPin: \n\nExplanation: 5J\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="32"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin-Priority"="99"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="5J"}}
Pin: :kgGN\n	{"Pref"={"Pin"=":kgGN"}}
Pin-Priority: 6\n\nPin: P+Tp5\n\nPin: _kCcg2B\n\nPin-Priority: 9347\n\n# l\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin"="P+Tp5"}}{"Pref"={"Pin"="_kCcg2B"}}{"Pref"={"Pin-Priority"="9347"}}{"Pref"={"#comment"="l"}}
Pin: 06qo\n	{"Pref"={"Pin"="06qo"}}
# q1i\n\nExplanation: \n\nPackage: *\n\nPin-Priority: 60\n\nPin-Priority: 3\n	{"Pref"={"#comment"="q1i"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="60"}}{"Pref"={"Pin-Priority"="3"}}
Package: \n\nPin: u-bD\n\nPin-Priority: 4\n\n# "\n\nPackage: A\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="u-bD"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"#comment"="\""}}{"Pref"={"Package"="A"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n\nExplanation: nubaL\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="nubaL"}}
Package: L\n\nPin-Priority: 041\n	{"Pref"={"Package"="L"}}{"Pref"={"Pin-Priority"="041"}}
Explanation: \n\nPackage: w\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="w"}}
Pin: \n\nExplanation: O\n\nPin: \n\nPin: \n\nPin: \n\nPackage: *\n\n# \n\nPin: 2r\n\nExplanation: -\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="O"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="2r"}}{"Pref"={"Explanation"="-"}}
Explanation: PzwLx.T\n\nPin-Priority: 3346\n\nPackage: s7R4HglJ\n	{"Pref"={"Explanation"="PzwLx.T"}}{"Pref"={"Pin-Priority"="3346"}}{"Pref"={"Package"="s7R4HglJ"}}
Pin-Priority: 4\n	{"Pref"={"Pin-Priority"="4"}}
# \n\nExplanation: p\n\nPackage: bZHYI'c\n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="p"}}{"Pref"={"Package"="bZHYI'c"}}
# Z Ye9\n\nPin-Priority: 153\n\nPin: 0\n	{"Pref"={"#comment"="Z Ye9"}}{"Pref"={"Pin-Priority"="153"}}{"Pref"={"Pin"="0"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n\nPin-Priority: 7700\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="7700"}}
Pin: x\n\nPin-Priority: 840\n\nPin-Priority: 8\n	{"Pref"={"Pin"="x"}}{"Pref"={"Pin-Priority"="840"}}{"Pref"={"Pin-Priority"="8"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: \n\nPin-Priority: 5\n\nPin-Priority: 4\n\nPackage: *\n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
# hrcmNz\n	{"Pref"={"#comment"="hrcmNz"}}
Explanation: 9\n	{"Pref"={"Explanation"="9"}}
Package: Hs\n	{"Pref"={"Package"="Hs"}}
# \n	{"Pref"={"#comment"=""}}
# 6\n\nPackage: *\n	{"Pref"={"#comment"="6"}}{"Pref"={"Package"="*"}}
Explanation: K_sPm\n	{"Pref"={"Explanation"="K_sPm"}}
Pin: =UD_\n\nExplanation:  \n\n# bol\n\nPin-Priority: 8\n	{"Pref"={"Pin"="=UD_"}}{"Pref"={"Explanation"=" "}}{"Pref"={"#comment"="bol"}}{"Pref"={"Pin-Priority"="8"}}
Package: *\n\nPin: amB\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin"="amB"}}
# ty\n	{"Pref"={"#comment"="ty"}}
Pin: WA7\n\nPin-Priority: 0280\n	{"Pref"={"Pin"="WA7"}}{"Pref"={"Pin-Priority"="0280"}}
Package: n\n	{"Pref"={"Package"="n"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Package: *\n\nPin-Priority: 3\n\n# uqM\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"#comment"="uqM"}}{"Pref"={"Package"=""}}
Explanation: y\n\nPackage: V\n	{"Pref"={"Explanation"="y"}}{"Pref"={"Package"="V"}}
Package: *\n\nPackage: *\n\nPin: rKPa-DY\n\nPin: lbA\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="rKPa-DY"}}{"Pref"={"Pin"="lbA"}}
Pin-Priority: 8\n\n# E\n\n# \n\nExplanation:  +Q\n\nPin-Priority: 1\n\nPackage: *\n\nExplanation: \n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"#comment"="E"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=" +Q"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin: G\n\nExplanation: \n	{"Pref"={"Pin"="G"}}{"Pref"={"Explanation"=""}}
# 3T9EN\n\nPin-Priority: 7078\n	{"Pref"={"#comment"="3T9EN"}}{"Pref"={"Pin-Priority"="7078"}}
Explanation: G\n\nPin-Priority: 39\n\nExplanation: 7JD\n	{"Pref"={"Explanation"="G"}}{"Pref"={"Pin-Priority"="39"}}{"Pref"={"Explanation"="7JD"}}
Package: *\n\nExplanation: rc_G\n\nPin: L\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="rc_G"}}{"Pref"={"Pin"="L"}}
Package: \n\n# Ka\n\nExplanation: \n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="Ka"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 883\n\n# nRQ\n	{"Pref"={"Pin-Priority"="883"}}{"Pref"={"#comment"="nRQ"}}
Pin: \n\n# \n\n# L"\n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="L\""}}{"Pref"={"Package"="*"}}
Pin-Priority: 839\n\nPackage: +\n\nPin-Priority: 337\n	{"Pref"={"Pin-Priority"="839"}}{"Pref"={"Package"="+"}}{"Pref"={"Pin-Priority"="337"}}
Pin: \n\nPackage: \n	{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}
# =/Q\n	{"Pref"={"#comment"="=/Q"}}
Pin-Priority: 5475\n\n# \n	{"Pref"={"Pin-Priority"="5475"}}{"Pref"={"#comment"=""}}
Pin-Priority: 6\n	{"Pref"={"Pin-Priority"="6"}}
# p\n\nPin: \n	{"Pref"={"#comment"="p"}}{"Pref"={"Pin"=""}}
# T+5t\n\nExplanation: 9\n	{"Pref"={"#comment"="T+5t"}}{"Pref"={"Explanation"="9"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Pin-Priority: 9\n	{"Pref"={"Pin-Priority"="9"}}
Pin: W3fdCT\n\nPin-Priority: 68\n\nPin: p_\n\nPin: hP\n\nPackage: H\n\nExplanation: u\n\nPin-Priority: 27\n\nPin-Priority: 36283\n\nPin: \n\n# oI\n\nPin: p\n\nPackage: *\n\nPin-Priority: 2503\n	{"Pref"={"Pin"="W3fdCT"}}{"Pref"={"Pin-Priority"="68"}}{"Pref"={"Pin"="p_"}}{"Pref"={"Pin"="hP"}}{"Pref"={"Package"="H"}}{"Pref"={"Explanation"="u"}}{"Pref"={"Pin-Priority"="27"}}{"Pref"={"Pin-Priority"="36283"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="oI"}}{"Pref"={"Pin"="p"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="2503"}}
Pin-Priority: 6\n\nExplanation: \n\nExplanation: BG\n\nPin-Priority: 01\n\nPin-Priority: 973\n\nPackage: *\n\n# \n\nPackage: \n\n# 7Z\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="BG"}}{"Pref"={"Pin-Priority"="01"}}{"Pref"={"Pin-Priority"="973"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="7Z"}}
Explanation: RxyqY:qVa\n\nPin-Priority: 00\n\nPin: \n\nExplanation: '\n\nPin: \n\nExplanation: \n\n# D4s\n\nPin: 8\n	{"Pref"={"Explanation"="RxyqY:qVa"}}{"Pref"={"Pin-Priority"="00"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="'"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="D4s"}}{"Pref"={"Pin"="8"}}
Explanation: F\n	{"Pref"={"Explanation"="F"}}
Explanation: :3DVf-\n	{"Pref"={"Explanation"=":3DVf-"}}
Pin: Bg\n\nExplanation: \n	{"Pref"={"Pin"="Bg"}}{"Pref"={"Explanation"=""}}
Explanation: 'g\n	{"Pref"={"Explanation"="'g"}}
Package: Lj5CO\n\nPin-Priority: 5\n	{"Pref"={"Package"="Lj5CO"}}{"Pref"={"Pin-Priority"="5"}}
Package: A\n\nPin: f\n	{"Pref"={"Package"="A"}}{"Pref"={"Pin"="f"}}
Pin-Priority: 9\n	{"Pref"={"Pin-Priority"="9"}}
Pin-Priority: 6\n\nExplanation: \n\n# \n\n# \n\nPin: F8Odxbo\n\n# \n\nPackage: *\n\nPin: ophFr\n\nPackage: \n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"="F8Odxbo"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="ophFr"}}{"Pref"={"Package"=""}}
Pin-Priority: 721\n	{"Pref"={"Pin-Priority"="721"}}
Explanation: v\n\nPin: q\n	{"Pref"={"Explanation"="v"}}{"Pref"={"Pin"="q"}}
Explanation: \n\nExplanation: E+\n\n# \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="E+"}}{"Pref"={"#comment"=""}}
Explanation: \n\nExplanation: L\n\nPackage: \n\n# M\n\nPackage: HTA\n\nPin-Priority: 287\n\nPin: o\n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="L"}}{"Pref"={"Package"=""}}{"Pref"={"#comment"="M"}}{"Pref"={"Package"="HTA"}}{"Pref"={"Pin-Priority"="287"}}{"Pref"={"Pin"="o"}}{"Pref"={"Pin"=""}}
Explanation: UAD\n	{"Pref"={"Explanation"="UAD"}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: T5\n	{"Pref"={"Explanation"="T5"}}
Package: LY\n	{"Pref"={"Package"="LY"}}
# hw1J7\n\nPin: \n	{"Pref"={"#comment"="hw1J7"}}{"Pref"={"Pin"=""}}
Pin: X\n	{"Pref"={"Pin"="X"}}
Pin-Priority: 0\n\n# \n	{"Pref"={"Pin-Priority"="0"}}{"Pref"={"#comment"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 40\n\n# \n\n# -8\n	{"Pref"={"Pin-Priority"="40"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="-8"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 813526\n	{"Pref"={"Pin-Priority"="813526"}}
Package: Jq\n	{"Pref"={"Package"="Jq"}}
Package: Qsf\n\nPackage: *\n\nPackage: *\n\nPin-Priority: 9141017\n	{"Pref"={"Package"="Qsf"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="9141017"}}
# \n\nExplanation: \n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Explanation: \n\nExplanation: s\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="s"}}
# \n\nPackage: *\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}
# Y\n\nPin: \n	{"Pref"={"#comment"="Y"}}{"Pref"={"Pin"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: \n	{"Pref"={"Package"=""}}
Package: 4q\n\n# m\n	{"Pref"={"Package"="4q"}}{"Pref"={"#comment"="m"}}
Pin-Priority: 0013\n\n# \n\nExplanation: 2W\n	{"Pref"={"Pin-Priority"="0013"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"="2W"}}
# -.8\n	{"Pref"={"#comment"="-.8"}}
